利润及利润分配表,,,
                                                                                                                                                                                                    会企02表,,,
编制单位：                                          ,2024年12月日,, 单位：元
项             目,行次,本年累计数,上年同期数
一、营业收入,1.0,13928800.0,8211948.2
  减：营业成本,2.0,7916788.35,2592932.05
      营业税金及附加,3.0,0.0,0.0
二、主营业务利润（亏损以“－”号填列）,4.0,6012011.65,5619016.15
              加：其他业务利润（亏损以“－”号填列）,5.0,0.0,0.0
      销售费用,6.0,179948.09,2825249.73
      管理费用,7.0,188763.42,1625538.63
      财务费用,8.0,-3574.01,478.4
三、营业利润（亏损以“－”号填列）,9.0,5646874.15,1167749.39
     加：投资收益（损失以“－”号填列）,10.0,0.0,0.0
         补贴收入,11.0,0.0,0.0
  加：营业外收入,12.0,0.0,20102.46
  减：营业外支出,13.0,100.0,5460.38
四、利润总额（亏损以“－”号填列）,14.0,5646774.15,1182391.47
  减：所得税费用,15.0,0.0,31408.8
          少数股东权益,16.0,0.0,
五、净利润（亏损以“－”号填列）,17.0,5646774.15,1150982.67
     加：年初未分配利润,18.0,29606617.01,0.0
        其他转入,19.0,,
六、可供分配的利润,20.0,35253391.16,1150982.67
     减：提取法定盈余公积,21.0,,
         提取法定公益金,22.0,,
         提取职工奖励及福利基金,23.0,,
         提取储备基金,24.0,,
         提取企业发展基金,25.0,,
         利润归还投资,26.0,,
七、可供投资者分配的利润,27.0,35253391.16,1150982.67
     减：应付优先股股利,28.0,,
         提取任意盈余公积,29.0,,
         应付普通股股利,30.0,,
         转作资本（或股本）的普通股股利,31.0,,
八、未分配利润,32.0,35253391.16,1150982.67
,,,
   补充资料：,,,
项         目,行次,本年累计数,上年同期数
   1、出售、处置部门或被投资单位所得收益,1.0,,
   2、自然灾害发生的损失,2.0,,
   3、会计政策变更增加（或减少）利润总额,3.0,,
   4、会计估计变更增加（或减少）利润总额,4.0,,
   5、债务重组损失,5.0,,
   6、其他,6.0,,
