重要提醒：粉红色阴影部分已设置为公式，数据自动计算产生，务请不要填入任何数据以免出错！只需在“金额”栏白色空格内录入数据,,
一、编制现金流量表所需数据录入,,
序号,项      目,金     额
1.0,应收票据贴现利息支出,
2.0,支付给职工的工资,155172.54
,支付给职工的四金,41275.9
,支付给职工的其他福利费,1644.83
,合               计,198093.27
3.0,销项税额,835728.0
,进项税额,0.0
,应交增值税,835728.0
,其他各项税,0.0
,所得税,0.0
,管理费用中列支的税金,
,在其他业务支出中列支的税金,
,实际应缴纳各项税金合计,835728.0
4.0,分配股利所支付的现金,
,分配利润所支付的现金,
,利息支出（不包括应收票据贴现利息支出）,
,分配股利、利润或偿付利息所支付的现金,0.0
5.0,计提坏账准备的比率,0.005
,计提的坏账准备,
6.0,无形资产摊销,
7.0,长期待摊费用摊销,
8.0,固定资产报废损失,
9.0,收到投资分红或利润,
10.0,处置固定资产收回的现金净额,
,处置无形资产收回的现金净额,
,处置其他长期资产收回的现金净额,
,处置固定资产、无形资产和其他长期资产所收回的现金净额合计,0.0
11.0,收到的其他与投资活动有关的现金,
12.0,支付的其他与投资活动有关的现金,
,,
二、编制财务分析表所需数据录入,,
序号,项      目,金     额
1.0,待摊费用摊销,
