资   产   负   债   表,,,,,,,
,,,,,,,会企01表
编制单位：    ,,,                             2023年12月日,,,,单位：元
资        产 ,行次,年初数,期末数,负债及所有者权益,行次,年初数,期末数
流动资产：,,,,流动负债：,,,
  货币资金,1.0,17495.35,107174.54,  短期借款,68.0,0.0,0.0
    短期投资,2.0,0.0,0.0,  应付票据,69.0,0.0,0.0
    应收票据,3.0,0.0,0.0,  应付账款,70.0,7259924.68,8466583.42
    应收股利,4.0,0.0,0.0,  预收款项,71.0,0.0,8678484.0
    应收利息,5.0,0.0,0.0,  应付职工薪酬,72.0,988878.61,991438.61
  应收账款,6.0,2896850.0,5865204.39,    应付福利费,73.0,0.0,0.0
  其他应收款,7.0,22912774.29,32572829.77,    应付股利,74.0,0.0,0.0
  预付款项,8.0,505762.0,505762.0,  应交税费,75.0,46460.78,46460.78
    应收补贴款,9.0,0.0,0.0,    其他应交款,80.0,0.0,0.0
  存货,10.0,0.0,0.0,  其他应付款,81.0,29230528.2,26414140.37
    待摊费用,11.0,0.0,0.0,    预提费用,82.0,0.0,0.0
    一年内到期的长期债券投资,21.0,0.0,0.0,    预计负债,83.0,0.0,0.0
    其他流动资产,24.0,0.0,0.0,    一年内到期的长期负债,86.0,0.0,0.0
,,,,    其他流动负债,90.0,0.0,0.0
      流动资产合计,31.0,26332881.64,39050970.7, 流动负债合计,100.0,37525792.27,44597107.18
长期投资：,,,,长期负债：,,,
    长期股权投资,32.0,40796909.0,40796909.0,    长期借款,101.0,0.0,0.0
    长期债权投资,34.0,0.0,0.0,    应付债券,102.0,0.0,0.0
    长期投资合计,38.0,40796909.0,40796909.0,    长期应付款,103.0,0.0,0.0
固定资产：,,,,    专项应付款,106.0,0.0,0.0
  固定资产,39.0,2618.64,2618.64,    其他长期负债,108.0,0.0,0.0
        减：累计折旧,40.0,,,        长期负债合计,110.0,0.0,0.0
  固定资产,41.0,2618.64,2618.64,递延税项：,,,
        减：固定资产减值准备,42.0,,,    递延税项贷项,111.0,0.0,0.0
    固定资产净额,43.0,2618.64,2618.64,            负债总计,114.0,37525792.27,44597107.18
    工程物资,44.0,,,少数股东权益,,0.0,0.0
    在建工程,45.0,,,,,,
    固定资产清理,46.0,,,所有者权益（或股东权益）：,,,
              固定资产合计,50.0,2618.64,2618.64,  实收资本（或股本）,115.0,0.0,0.0
无形资产及其他资产：,,,,        减：已归还投资,116.0,0.0,0.0
  无形资产,51.0,,,    实收资本（或股本）净额,117.0,0.0,0.0
    长期待摊费用,52.0,,,  资本公积,118.0,0.0,0.0
    其他长期资产,53.0,,,  盈余公积,119.0,0.0,0.0
    无形资产及其他资产合计,60.0,0.0,0.0,        其中：法定公益金,120.0,0.0,0.0
递延税项：,,,,  未分配利润,121.0,29606617.01,35253391.16
    递延税款借项,61.0,,,所有者权益（或股东权益）合计,122.0,29606617.01,35253391.16
            资产总计,67.0,67132409.28,79850498.34,  负债和所有者权益（或股东权益）总计,135.0,67132409.28,79850498.34
,,,,,,,
,,,,,,0.0,0.0
,,0.0,0.0,,,,
