序号,项目,金额
1,应收票据贴现利息支出,
2,支付给职工的工资,
3,支付给职工的四金,
4,支付给职工的其他福利费,
5,销项税额,
6,进项税额,
7,应交增值税,
8,其他各项税,
9,所得税,
10,管理费用中列支的税金,
11,在其他业务支出中列支的税金,
12,分配股利所支付的现金,
13,分配利润所支付的现金,
14,利息支出,
15,计提坏账准备的比率,
16,计提的坏账准备,
17,无形资产摊销,
18,长期待摊费用摊销,
19,固定资产报废损失,
20,收到投资分红或利润,
21,处置固定资产收回的现金净额,
22,处置无形资产收回的现金净额,
23,处置其他长期资产收回的现金净额,
24,收到的其他与投资活动有关的现金,
25,支付的其他与投资活动有关的现金,
26,收到的其他与筹资活动有关的现金,
27,偿还债务所支付的现金,
28,支付的其他与筹资活动有关的现金,
29,汇率变动对现金的影响,
30,现金等价物期末余额,
31,现金等价物期初余额,
32,支付的其他与经营活动有关的现金,

高精度模式（可选）：从现金流量表主表直接抄真实值，填了即用真实值替代公式推算
1,销售商品提供劳务收到的现金,
2,收到的税费返还,
3,购买商品接受劳务支付的现金,
4,支付给职工以及为职工支付的现金,
5,支付的各项税费,
6,收到的其他与经营活动有关的现金,
7,支付的其他与经营活动有关的现金,
8,购建固定资产无形资产和其他长期资产支付的现金,
9,投资所支付的现金,
10,吸收投资所收到的现金,
11,借款所收到的现金,
